# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240114
# End date: 20240120
Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
United States,1047,946,873,0.7006420545746388,0.833810888252149,90.64183381088826,9483,0,0
India,37,33,32,0.7804878048780488,0.8648648648648649,75.94594594594595,260,0,0
Canada,14,14,13,0.9285714285714286,0.9285714285714286,94.07142857142857,106,0,0
Philippines,8,7,4,0.5,0.5,56.75,30,0,0
Nigeria,7,7,6,0.75,0.8571428571428571,39,41,0,0
Hong Kong,6,4,6,0.8571428571428571,1,41.166666666666664,45,0,0
United Kingdom,6,6,4,0.6666666666666666,0.6666666666666666,42.833333333333336,23,0,0
Vietnam,6,6,3,0.42857142857142855,0.5,185.33333333333334,53,0,0
Pakistan,5,5,3,0.6,0.6,13,18,0,0
Spain,5,4,3,0.6,0.6,57.2,19,0,0
China,4,3,2,0.4,0.5,26.5,18,0,0
Mexico,4,3,4,0.6666666666666666,1,559.75,104,0,0
Puerto Rico,4,2,4,1,1,27,14,0,0
South Korea,4,4,5,1,1.25,280.25,41,0,0
Australia,3,3,2,0.6666666666666666,0.6666666666666666,24.333333333333332,12,0,0
Germany,3,3,2,0.6666666666666666,0.6666666666666666,18.333333333333332,12,0,0
Italy,3,3,2,0.6666666666666666,0.6666666666666666,38,13,0,0
Singapore,3,3,2,0.6666666666666666,0.6666666666666666,92,23,0,0
Thailand,3,3,2,0.6666666666666666,0.6666666666666666,372.3333333333333,27,0,0
Argentina,2,2,2,1,1,19,9,0,0
Brazil,2,2,0,0,0,0,6,0,0
Iraq,2,2,0,0,0,0,6,0,0
Myanmar (Burma),2,2,2,1,1,68,20,0,0
Saudi Arabia,2,2,2,1,1,22.5,13,0,0
Sri Lanka,2,2,2,1,1,16,15,0,0
Türkiye,2,2,2,1,1,58.5,11,0,0
Albania,1,1,1,1,1,62,5,0,0
Algeria,1,1,0,0,0,4,5,0,0
Armenia,1,1,0,0,0,2,4,0,0
Bangladesh,1,1,0,0,0,6,5,0,0
Belize,1,1,1,1,1,26,4,0,0
Bolivia,1,1,1,1,1,1,4,0,0
Cambodia,1,1,1,1,1,70,7,0,0
Côte d’Ivoire,1,1,2,1,2,49,9,0,0
Fiji,1,1,1,1,1,32,7,0,0
France,1,1,1,1,1,74,5,0,0
Ghana,1,1,0,0,0,2,4,0,0
Japan,1,1,1,1,1,32,4,0,0
Kenya,1,1,0,0,0,0,3,0,0
Lebanon,1,1,0,0,0,0,3,0,0
Malaysia,1,1,0,0,0,0,3,0,0
Malta,1,1,0,0,0,5,4,0,0
Netherlands,1,1,1,1,1,13,4,0,0
North Macedonia,1,1,0,0,0,0,5,0,0
Palau,1,1,1,1,1,857,5,0,0
Poland,1,1,1,0.3333333333333333,1,61,18,0,0
Russia,1,1,1,1,1,10,4,0,0
Senegal,1,1,1,1,1,91,25,0,0
Serbia,1,1,0,0,0,8,5,0,0
Seychelles,1,1,1,1,1,1,4,0,0
Sint Maarten,1,1,1,1,1,46,5,0,0
Sweden,1,1,0,0,0,0,3,0,0
Switzerland,1,1,1,0.5,1,22,6,0,0
Tanzania,1,1,1,1,1,33,4,0,0
United Arab Emirates,1,1,2,1,2,33,10,0,0
Zimbabwe,1,1,1,1,1,14,4,0,0
Ukraine,0,0,0,0,0,0,2,0,0
